scripts/createDemoTenant.ts(6,26): error TS2307: Cannot find module '../src/lib/supabase' or its corresponding type declarations.
src/modules/customer/pages/CustomerPesananAktifPage.tsx(155,18): error TS2304: Cannot find name 'activeOrders'.
src/modules/customer/pages/CustomerPesananPage.tsx(3,30): error TS2307: Cannot find module '../../components/SegmentedControl' or its corresponding type declarations.
src/modules/customer/pages/CustomerPesananPage.tsx(4,32): error TS2307: Cannot find module '../../hooks/useTenantParam' or its corresponding type declarations.
src/modules/customer/pages/CustomerPesanOnlinePage.tsx(87,27): error TS2304: Cannot find name 'OrderItem'.
src/modules/customer/pages/CustomerPesanPage.tsx(7,10): error TS2305: Module '"@core/contexts/LocationContext"' has no exported member 'useLocationContext'.
src/modules/customer/pages/CustomerPesanPage.tsx(9,63): error TS2305: Module '"@core/data/mockDB"' has no exported member 'getSortScore'.
src/modules/customer/pages/CustomerPesanPage.tsx(15,34): error TS2307: Cannot find module '@modules/customer/components/RealTimeStatusWidget' or its corresponding type declarations.
src/modules/customer/pages/CustomerProfileSettingsPage.tsx(8,36): error TS2307: Cannot find module '@modules/customer/components/EmailVerificationModal' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(6,28): error TS2307: Cannot find module '@modules/customer/components/sections/GallerySection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(7,33): error TS2307: Cannot find module '@modules/customer/components/sections/TestimonialsSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(8,35): error TS2307: Cannot find module '@modules/customer/components/sections/ReservationCtaSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(9,30): error TS2307: Cannot find module '@modules/customer/components/sections/PromotionSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(10,29): error TS2307: Cannot find module '@modules/customer/components/sections/LocationSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(11,25): error TS2307: Cannot find module '@modules/customer/components/sections/HeroSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(12,33): error TS2307: Cannot find module '@modules/customer/components/sections/FeaturedMenuSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(13,27): error TS2307: Cannot find module '@modules/customer/components/sections/ForYouSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(14,29): error TS2307: Cannot find module '@modules/customer/components/sections/FeaturesSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(15,26): error TS2307: Cannot find module '@modules/customer/components/sections/StatsSection' or its corresponding type declarations.
src/modules/customer/pages/Home.tsx(16,24): error TS2307: Cannot find module '@modules/customer/components/sections/CtaSection' or its corresponding type declarations.
src/modules/customer/pages/Menu.tsx(8,24): error TS2307: Cannot find module '@modules/customer/components/PageHeader' or its corresponding type declarations.
src/modules/platform/pages/LoginPage.tsx(5,27): error TS2307: Cannot find module '@/contexts/TenantContext' or its corresponding type declarations.
src/modules/platform/pages/OnboardingWizardPage.tsx(3,36): error TS2307: Cannot find module '@/core/tenant/tenantService' or its corresponding type declarations.
src/modules/platform/pages/RestaurantRegisterPage.tsx(3,41): error TS2307: Cannot find module '@/core/tenant/tenantService' or its corresponding type declarations.
src/ui/DynamicFavicon.tsx(2,27): error TS2307: Cannot find module '@/contexts/TenantContext' or its corresponding type declarations.
src/ui/Logo.tsx(4,27): error TS2307: Cannot find module '@/contexts/TenantContext' or its corresponding type declarations.
src/ui/Navigate.tsx(7,24): error TS2503: Cannot find namespace 'React'.
src/ui/Toast.tsx(3,30): error TS2307: Cannot find module '@/contexts/ToastContext' or its corresponding type declarations.
